"Version","English"
"CODE","English"
,
"V1.0.6a_0","V1.0.6a"
"V1.0.6a_1","- Fixed broken wafer recipe."
"V1.0.6a_2",
"V1.0.6_0","V1.0.6"
"V1.0.6_1","- Fixed two instances of possible savegame corruption"
"V1.0.6_2","- Added settings: VSync, FPS Limit, World Volume, Invert Cam"
"V1.0.6_3","- Render scale setting isn't ignored anymore on game start"
"V1.0.6_4","- Can now scroll to top part of the tech tree when using small/tiny UI Scale"
"V1.0.6_5","- Floor Tile Eraser now also removes incomplete floortiles"
"V1.0.6_6",
"V1.0.5_0","V1.0.5"
"V1.0.5_1","- Fixed a few wrong translations"
"V1.0.5_2","- Added missing credits"
"V1.0.5_3","- Fixed a bug with the counter gate not working and causing not being able to save after having started a new colony without first quitting the game. "
"V1.0.5_4","- Fixed a bug with empty pod workers being able to block the gyne cocoon, halting its progress."
"V1.0.5_5","- Fixed the tech tree showing a black screen on small resolutions."
"V1.0.5_6","- Rearranged some things in the tech tree, timer gate and caste gate are easier to unlock."
"V1.0.5_7","- Made ""Flying larvae"" objective easier."
"V1.0.5_8","- Fixed workshop collider"
"V1.0.5_9","- Fixed ""new"" UI element displayed on gate while it should be gone."
"V1.0.5_10",
"V1.0.4_0","V1.0.4"
"V1.0.4_1","- Added a missing splash screen"
"V1.0.4_2","- Fixed an issue with settings fond in Asian languages."
"V1.0.4_3","- Fixed a bug causing a crash."
"V1.0.4_4",
"V1.0.3_0","V1.0.3"
"V1.0.3_1","- Updated a few tutorial videos"
"V1.0.3_2","- Greatly reduced larva booster process time."
"V1.0.3_3","- Added Chinese logo in game"
"V1.0.3_4","- Rebalanced queen energy requirement and added more steps"
"V1.0.3_5","- Other smaller fixes and tweaks"
"V1.0.3_6",
"V1.0.2_0","V1.0.2"
"V1.0.2_1","- Fixed several bugs causing crashes"
"V1.0.2_2","- Buffed ant launcher strength"
"V1.0.2_3","- Buffed desert plants fruit"
"V1.0.2_4","- Nerfed inventor tower"
"V1.0.2_5","- Changed pod workers old timing"
